name,domain
Abilene Christian University,acu.edu
Academy Of Art University,academyart.edu
Acadia University,acadiau.ca
Adams State University,adams.edu
Adelphi University,adelphi.edu
Adrian College,adrian.edu
Agnes Scott College,agnesscott.edu
Alabama Agricultural And Mechanical University,aamu.edu
Alabama State University,alasu.edu
Alaska Bible College,akbible.edu
Alaska Pacific University,alaskapacific.edu
Albany College Pharmacy And Health Sciences,acphs.edu
Albany State University,asurams.edu
Albertus Magnus College,albertus.edu
Albion College,albion.edu
Albright College,alb.edu
Alcorn State University,alcorn.edu
Alderson Broaddus University,ab.edu
Alfred University,alfred.edu
Alice Lloyd College,alc.edu
Allegheny College,allegheny.edu
Allen College,allencollege.edu
Allen University,allenuniversity.edu
Alma College,alma.edu
Alvernia University,alvernia.edu
Alverno College,alverno.edu
American Baptist College,abcnash.edu
American International College,aic.edu
American Jewish University,aju.edu
American University,american.edu
American University Beirut Aub,aub.edu.lb
American University Bulgaria,aubg.edu
American University Paris,aup.edu
American University Rome,aur.edu
Amherst College,amherst.edu
Anderson University,anderson.edu
Andrews University,andrews.edu
Angelo State University,angelo.edu
Anna Maria College,annamaria.edu
Antioch College,antiochcollege.edu
Appalachian Bible College,abc.edu
Appalachian State University,appstate.edu
Aquinas College,aquinas.edu
Aquinas College,aquinascollege.edu
Arcadia University,arcadia.edu
Arizona Christian University,arizonachristian.edu
Arizona State University,asu.edu
Arkansas Baptist College,arkansasbaptist.edu
Arkansas State University,astate.edu
Arkansas Tech University,atu.edu
Arlington Baptist University,arlingtonbaptistcollege.edu
Art Academy Cincinnati,artacademy.edu
Art Center College Of Design,artcenter.edu
Asbury University,asbury.edu
Ashland University,ashland.edu
Assumption College,assumption.edu
Athens State University,athens.edu
Auburn University,auburn.edu
Auburn University At Montgomery,aum.edu
Augsburg University,augsburg.edu
Augusta University,augusta.edu
Augustana College Illinois,augustana.edu
Augustana University South Dakota,augie.edu
Aurora University,aurora.edu
Austin College,austincollege.edu
Austin Graduate School Of Theology,austingrad.edu
Austin Peay State University,apsu.edu
Ave Maria University,avemaria.edu
Averett University,averett.edu
Avila University,avila.edu
Azusa Pacific University,apu.edu
Babson College,babson.edu
Baker University,bakeru.edu
Baldwin Wallace University,bw.edu
Ball State University,bsu.edu
Baptist College Of Florida,baptistcollege.edu
Baptist College Of Health Sciences,bchs.edu
Barclay College,barclaycollege.edu
Bard College,bard.edu
Bard College Berlin,berlin.bard.edu
Bard College Simons Rock Early College,simons-rock.edu
Barnard College,barnard.edu
Barry University,barry.edu
Barton College,barton.edu
Bastyr University,bastyr.edu
Bates College,bates.edu
Bay Path University,baypath.edu
Baylor University,baylor.edu
Beacon College,beaconcollege.edu
Becker College,becker.edu
Belhaven University,belhaven.edu
Bellarmine University,bellarmine.edu
Bellarmine University,bellarmine.edu
Belmont Abbey College,bac.edu
Belmont University,belmont.edu
Belmont University,belmont.edu
Beloit College,beloit.edu
Bemidji State University,bemidjistate.edu
Benedict College,benedict.edu
Benedictine College,benedictine.edu
Benedictine College,benedictine.edu
Benedictine University Az,ben.edu
Benedictine University Il,ben.edu
Bennett College,bennett.edu
Bennington College,bennington.edu
Bentley University,bentley.edu
Berea College,berea.edu
Berklee College Of Music,berklee.edu
Berry College,berry.edu
Bethany College,bethanywv.edu
Bethany College,bethanylb.edu
Bethany Lutheran College,blc.edu
Bethel College,bethelcollege.edu
Bethel College,bethelks.edu
Bethel University,bethelu.edu
Bethel University,bethel.edu
Bethune Cookman University,cookman.edu
Beulah Heights University,beulah.edu
Biola University,biola.edu
Birmingham Southern College,bsc.edu
Birmingham Southern College,bsc.edu
Bishops University,ubishops.ca
Black Hills State University,bhsu.edu
Blackburn College,blackburn.edu
Blessing Rieman College Of Nursing,brcn.edu
Bloomfield College,bloomfield.edu
Bloomsburg University Of Pennsylvania,bloomu.edu
Blue Mountain College,bmc.edu
Bluefield College,bluefield.edu
Bluefield State College,bluefieldstate.edu
Bluffton University,bluffton.edu
Bob Jones University,bju.edu
Boise State University,boisestate.edu
Boston College,bc.edu
Boston College,bc.edu
Bowdoin College,bowdoin.edu
Bowie State University,bowiestate.edu
Bowling Green State University,bgsu.edu
Bradley University,bradley.edu
Brandeis University,brandeis.edu
Brenau University,brenau.edu
Brescia University,brescia.edu
Brevard College,brevard.edu
Brewton Parker College,bpc.edu
Briar Cliff University,briarcliff.edu
Bridgewater College,bridgewater.edu
Bridgewater State University,bridgew.edu
Brigham Young University Hawaii,byuh.edu
Brigham Young University Idaho,byui.edu
Brigham Young University Provo,byu.edu
Brown University,brown.edu
Bryan College,bryan.edu
Bryant University,bryant.edu
Bryn Athyn College,brynathyn.edu
Bryn Mawr College,brynmawr.edu
Bucknell University,bucknell.edu
Buena Vista University,bvu.edu
Butler University,butler.edu
Cabarrus College Of Health Sciences,cabarruscollege.edu
Cabrini University,cabrini.edu
Cairn University,cairn.edu
Caldwell University,caldwell.edu
California Baptist University,calbaptist.edu
California College Arts,cca.edu
California College Of The Arts,cca.edu
California Institute Of The Arts,calarts.edu
California Institute Technology Caltech,caltech.edu
California Lutheran University,callutheran.edu
California Maritime Academy,csum.edu
California State Polytechnic University Pomona,cpp.edu
California State University Bakersfield,csub.edu
